2019-10-10 13:39:41,779 | INFO  | Apache ActiveMQ 5.14.3 (ConnectorA, ID:9496d55fa9f5-42056-1570714777318-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2019-10-10 13:40:23,230 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@f6c48ac: startup date [Thu Oct 10 13:40:23 GMT 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-10-10 13:40:26,677 | WARN  | Memory Usage for the Broker (1024mb) is more than the maximum available for the JVM: 989 mb - resetting to 70% of maximum available: 692 mb | org.apache.activemq.broker.BrokerService | main
2019-10-10 13:40:26,712 | INFO  | Using Persistence Adapter: MemoryPersistenceAdapter | org.apache.activemq.broker.BrokerService | main
2019-10-10 13:40:26,712 | INFO  | PListStore:[/opt/activemq/activemq-data/ConnectorA/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-10-10 13:40:26,843 | INFO  | JMX consoles can connect to service:jmx:rmi:///jndi/rmi://localhost:1099/jmxrmi | org.apache.activemq.broker.jmx.ManagementContext | JMX connector
2019-10-10 13:40:27,053 | INFO  | Apache ActiveMQ 5.14.3 (ConnectorA, ID:f7d295826fc9-34644-1570714826738-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2019-10-10 13:40:27,107 | INFO  | Listening for connections at: tcp://f7d295826fc9:61816?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-10-10 13:40:27,114 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2019-10-10 13:40:27,227 | INFO  | Listening for connections at: ssl://f7d295826fc9:61716?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-10-10 13:40:27,231 | INFO  | Connector openwire-ssl started | org.apache.activemq.broker.TransportConnector | main
2019-10-10 13:40:27,232 | INFO  | Apache ActiveMQ 5.14.3 (ConnectorA, ID:f7d295826fc9-34644-1570714826738-0:1) started | org.apache.activemq.broker.BrokerService | main
2019-10-10 13:40:27,232 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2019-10-10 13:40:27,232 | WARN  | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: /opt/activemq only has 3301 mb of usable space. - resetting to maximum available disk space: 3301 mb | org.apache.activemq.broker.BrokerService | main
2019-10-10 13:40:28,708 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2019-10-10 13:40:28,958 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2019-10-10 13:40:28,958 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2019-10-10 13:40:29,058 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2019-10-10 13:40:29,763 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2019-10-10 13:40:29,874 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2019-10-10 13:40:30,472 | INFO  | Loaded 202 type converters | org.apache.camel.impl.converter.DefaultTypeConverter | main
2019-10-10 13:40:30,586 | INFO  | Apache Camel 2.16.3 (CamelContext: camel-1) is starting | org.apache.camel.spring.SpringCamelContext | main
2019-10-10 13:40:30,587 | INFO  | JMX is enabled | org.apache.camel.management.ManagedManagementStrategy | main
